code,smell_type,has_smell,severity
"def process_user_data(user_id, name, email, age, address):
    user = get_user(user_id)
    if user:
        validate_email(email)
        validate_age(age)
        update_database(user_id, name, email)
        send_notification(email)
        log_activity(user_id)
        calculate_metrics(user)
        generate_report(user)
        update_cache(user_id)
        trigger_webhook(user)
        cleanup_old_data()
        process_analytics(user)
        sync_external_systems(user)
        update_search_index(user)
        invalidate_cache(user_id)
        send_welcome_email(email)
        create_audit_log(user_id)
        update_statistics()
        refresh_recommendations(user)
    return user",long_method,1,high
"def calculate_invoice(items, tax_rate, discount, shipping):
    total = 0
    for item in items:
        price = item.price
        quantity = item.quantity
        subtotal = price * quantity
        total += subtotal
    tax = total * tax_rate
    total_with_tax = total + tax
    discount_amount = total_with_tax * discount
    final_total = total_with_tax - discount_amount
    shipping_cost = calculate_shipping(items)
    grand_total = final_total + shipping_cost
    apply_loyalty_discount(grand_total)
    check_minimum_order(grand_total)
    validate_payment_method()
    process_payment(grand_total)
    send_confirmation_email()
    update_inventory(items)
    generate_invoice_pdf()
    log_transaction(grand_total)
    return grand_total",long_method,1,high
"def process_order(order):
    validate_order(order)
    check_inventory(order)
    calculate_total(order)
    apply_discount(order)
    process_payment(order)
    send_confirmation(order)
    update_inventory(order)
    log_transaction(order)
    return order",borderline,1,medium
"def generate_report(data):
    filtered = filter_data(data)
    sorted_data = sort_data(filtered)
    grouped = group_by_category(sorted_data)
    calculated = calculate_metrics(grouped)
    formatted = format_output(calculated)
    return formatted",borderline,1,medium
"def create_user(name, email, password, age, country, city, zipcode, phone, address):
    return User(name, email, password, age, country, city, zipcode, phone, address)",too_many_parameters,1,high
"def send_email(to, from_addr, subject, body, cc, bcc, priority, attachments, reply_to):
    email = Email(to, from_addr, subject, body)
    return email.send()",too_many_parameters,1,high
"def process_payment(card_number, cvv, expiry, amount, currency, customer_id, order_id, billing_address):
    payment = Payment(card_number, cvv, expiry, amount)
    return payment.process()",too_many_parameters,1,high
"def create_user(name, email, password):
    return User(name, email, password)",none,0,none
"def calculate_price(base, tax, discount):
    return base * (1 + tax) * (1 - discount)",none,0,none
"def send_notification(user_id, message):
    notification = Notification(user_id, message)
    return notification.send()",none,0,none
